#{"t_start": 1784869580.4589381, "env_id": "None"}
r,l,t,total_score
6.321517,39,0.642309,173
14.560826,39,0.6592,218
6.789412,39,0.675388,174
7.070998,39,0.69172,179
7.373576,39,0.709119,181
6.810983,39,0.725911,177
11.346077,39,0.742155,205
12.459695,39,0.758484,210
12.316838,39,0.774987,210
6.26868,39,0.791737,172
3.691706,39,0.808939,132
14.316178,39,0.825654,217
15.163315,39,0.843433,220
3.455795,39,0.8622,120
33.606997,39,0.883959,261
9.786132,39,0.902476,196
7.513201,39,0.921369,182
15.258553,39,0.939789,220
4.160389,39,0.957468,145
11.951524,39,0.973888,207
12.179491,39,0.990441,209
7.990136,39,1.006828,186
8.812543,39,1.025061,191
6.700755,39,1.042039,176
12.924456,39,1.058316,212
4.916321,39,1.074375,153
20.932518,39,1.090951,237
6.887571,39,1.10701,180
3.807302,39,1.123713,134
7.157413,39,1.140381,180
9.786132,39,1.156478,196
6.678301,39,1.17259,174
9.706767,39,1.188759,196
4.67827,39,1.20464,152
8.83499,39,1.22051,190
11.681683,39,1.237204,207
8.771498,39,1.25361,190
11.670239,39,1.26974,206
5.059178,39,1.286327,153
14.465588,39,1.302682,218
13.283815,39,1.319511,213
5.23344,39,1.336234,159
5.674736,39,1.352945,165
3.675833,39,1.369451,132
15.210934,39,1.385917,220
8.286934,39,1.404142,188
4.309117,39,1.422975,143
4.596905,39,1.441269,148
22.339121,39,1.462685,240
5.52561,39,1.482255,163
5.37131,39,1.500752,160
7.465582,39,1.518496,182
4.75899,39,1.534893,154
15.774612,39,1.552467,222
13.394627,39,1.569486,214
6.000489,39,1.586117,168
4.852829,39,1.602602,153
12.412076,39,1.619365,210
3.280845,39,1.636288,115
12.908583,39,1.653123,212
14.22094,39,1.669172,217
6.297512,39,1.685245,171
5.382968,39,1.701264,158
24.712073,39,1.717986,245
3.783439,39,1.734353,136
13.505738,39,1.750818,214
4.900492,39,1.767311,152
8.464044,39,1.783725,189
10.428384,39,1.800049,201
3.96953,39,1.816483,138
10.49638,39,1.833365,202
6.480247,39,1.849495,173
7.405322,39,1.866491,181
7.189159,39,1.882991,180
6.874475,39,1.899555,177
6.799404,39,1.915929,175
4.103628,39,1.933015,146
6.907104,39,1.949897,176
3.987131,39,1.967824,137
5.335349,39,1.987277,158
8.307596,39,2.005646,186
6.529563,39,2.024514,175
11.904313,39,2.046525,208
10.321078,39,2.065431,199
7.437068,39,2.08423,181
7.379635,39,2.100566,180
22.878183,39,2.117623,241
9.642993,39,2.134338,197
14.433842,39,2.150627,218
16.700149,39,2.167519,225
11.479762,39,2.184811,206
13.886894,39,2.201479,216
5.495033,39,2.217838,161
4.854228,39,2.234668,154
6.617886,39,2.251276,172
10.714098,39,2.268195,201
11.409569,39,2.284938,205
-14.184202,39,2.301453,167
11.713429,39,2.317711,207
6.456242,39,2.334362,171
17.138405,39,2.350853,226
5.701382,39,2.367654,161
7.205032,39,2.384629,180
13.4105,39,2.401817,214
13.998005,39,2.418162,216
14.656064,39,2.434798,218
5.305954,39,2.451174,156
3.787381,39,2.467398,128
6.982809,39,2.48379,180
13.764931,39,2.500871,215
7.921855,39,2.517383,188
7.560821,39,2.535237,182
6.464374,39,2.553202,173
7.325957,39,2.571666,181
6.640674,39,2.590516,175
9.187126,39,2.610269,195
9.143319,39,2.630146,193
11.187347,39,2.648718,205
3.478292,39,2.665667,123
9.25443,39,2.682596,193
7.608098,39,2.699492,183
8.334553,39,2.716889,188
12.908583,39,2.73455,212
15.226807,39,2.751136,220
11.121805,39,2.76819,204
8.559282,39,2.785206,189
7.847279,39,2.801985,186
6.656547,39,2.819392,175
6.810983,39,2.836467,177
9.552206,39,2.853724,195
7.532306,39,2.870869,181
8.828416,39,2.888452,191
5.715763,39,2.905778,162
14.608445,39,2.923562,218
13.844296,39,2.940487,215
2.704851,39,2.957486,106
4.09595,39,2.973993,140
4.262358,39,2.990856,146
15.568997,39,3.007324,221
3.606775,39,3.024156,127
