#{"t_start": 1778548220.961131, "env_id": "None"}
r,l,t
1981.0,39,0.672373
1610.0,39,0.689177
1827.0,39,0.707522
1612.0,39,0.725472
1379.0,39,0.744348
1501.0,39,0.762426
1393.0,39,0.779409
1755.0,39,0.796887
2304.0,39,0.814623
1728.0,39,0.833055
1622.0,39,0.851283
1753.0,39,0.869289
1779.0,39,0.887149
1987.0,39,0.904979
1677.0,39,0.923068
1786.0,39,0.941044
1751.0,39,0.958756
1529.0,39,0.976373
1718.0,39,0.993867
1414.0,39,1.011453
2062.0,39,1.028873
1872.0,39,1.046285
1662.0,39,1.062854
1643.0,39,1.080012
1687.0,39,1.098146
1892.0,39,1.116975
1809.0,39,1.134493
2025.0,39,1.151917
1975.0,39,1.16794
1499.0,39,1.186065
1329.0,39,1.204111
1570.0,39,1.21982
1638.0,39,1.235572
1846.0,39,1.251962
2125.0,39,1.26736
1705.0,39,1.283382
1736.0,39,1.30072
1875.0,39,1.317842
1872.0,39,1.334382
1514.0,39,1.351678
1479.0,39,1.369215
1607.0,39,1.384667
1955.0,39,1.401599
1722.0,39,1.418574
1593.0,39,1.434446
2082.0,39,1.451437
1528.0,39,1.469353
1621.0,39,1.486746
1426.0,39,1.504185
1862.0,39,1.520919
1914.0,39,1.539081
2024.0,39,1.55689
1941.0,39,1.574304
1490.0,39,1.592024
1917.0,39,1.609513
1898.0,39,1.627244
1431.0,39,1.645519
1742.0,39,1.663292
1900.0,39,1.679703
1609.0,39,1.697773
1773.0,39,1.715308
1612.0,39,1.73328
1578.0,39,1.750357
1875.0,39,1.76692
1771.0,39,1.785425
1447.0,39,1.803135
2128.0,39,1.820902
1058.0,39,1.839556
1610.0,39,1.85672
1672.0,39,1.87566
1937.0,39,1.893776
1098.0,39,1.91143
1877.0,39,1.929406
1673.0,39,1.947175
1334.0,39,1.965396
1561.0,39,1.983045
1591.0,39,2.000837
1673.0,39,2.018882
1825.0,39,2.037188
1671.0,39,2.055498
1558.0,39,2.072914
1719.0,39,2.090754
2001.0,39,2.108894
1748.0,39,2.125958
2027.0,39,2.143077
1511.0,39,2.161452
1740.0,39,2.179065
1584.0,39,2.197261
1500.0,39,2.215302
2055.0,39,2.233201
1973.0,39,2.250914
1742.0,39,2.268882
1495.0,39,2.286628
1492.0,39,2.304781
1680.0,39,2.322841
1888.0,39,2.340688
1502.0,39,2.358768
2011.0,39,2.37542
1389.0,39,2.392887
1957.0,39,2.410736
981.0,39,2.42854
1728.0,39,2.445956
1854.0,39,2.463227
1490.0,39,2.480976
1762.0,39,2.498976
1870.0,39,2.51583
1653.0,39,2.534651
1960.0,39,2.552732
1924.0,39,2.571229
1828.0,39,2.589893
1733.0,39,2.608312
1529.0,39,2.626711
2039.0,39,2.644702
1533.0,39,2.660659
985.0,39,2.676791
1413.0,39,2.694743
1527.0,39,2.712827
1385.0,39,2.73059
1883.0,39,2.748668
2088.0,39,2.766817
1831.0,39,2.785102
1636.0,39,2.802605
1436.0,39,2.821312
1432.0,39,2.839158
1232.0,39,2.856922
1836.0,39,2.87491
2018.0,39,2.892745
1381.0,39,2.910902
1665.0,39,2.929309
1719.0,39,2.947924
1877.0,39,2.965513
1454.0,39,2.983112
2280.0,39,3.001378
1996.0,39,3.01938
1985.0,39,3.037404
1551.0,39,3.05588
1618.0,39,3.074064
1653.0,39,3.092304
1973.0,39,3.110577
1983.0,39,3.129097
1600.0,39,3.147597
1206.0,39,3.165645
1565.0,39,3.183563
1821.0,39,3.199928
1243.0,39,3.216497
1689.0,39,3.233156
1982.0,39,3.249905
1126.0,39,3.267076
2188.0,39,3.285094
1734.0,39,3.303049
1879.0,39,3.32087
1890.0,39,3.339493
1826.0,39,3.357742
1726.0,39,3.375581
1739.0,39,3.393455
1788.0,39,3.41303
1815.0,39,3.431322
1697.0,39,3.44979
2018.0,39,3.468626
1355.0,39,3.487254
1996.0,39,3.503718
1867.0,39,3.521911
1471.0,39,3.540135
1901.0,39,3.558668
1055.0,39,3.574634
1995.0,39,3.591505
1662.0,39,3.608947
2091.0,39,3.625967
1460.0,39,3.642761
1645.0,39,3.660724
1792.0,39,3.678367
1407.0,39,3.696165
1345.0,39,3.714618
1749.0,39,3.732927
1526.0,39,3.749502
1284.0,39,3.766771
1915.0,39,3.783389
1398.0,39,3.800555
1658.0,39,3.818472
1696.0,39,3.836477
1672.0,39,3.854362
1696.0,39,3.872827
1712.0,39,3.891078
1879.0,39,3.909255
1460.0,39,3.927023
1268.0,39,3.945095
1720.0,39,3.963187
1835.0,39,3.981996
1547.0,39,4.00024
1665.0,39,4.018543
1902.0,39,4.036831
1488.0,39,4.054905
1607.0,39,4.072671
2004.0,39,4.091183
1785.0,39,4.109091
2053.0,39,4.126466
1585.0,39,4.14316
1948.0,39,4.161396
1593.0,39,4.177534
1665.0,39,4.194337
1502.0,39,4.212144
1117.0,39,4.230165
1706.0,39,4.247493
1412.0,39,4.264692
1901.0,39,4.281907
1453.0,39,4.297738
2033.0,39,4.314778
1619.0,39,4.331026
1323.0,39,4.34647
1756.0,39,4.363299
1925.0,39,4.380997
1766.0,39,4.39943
1970.0,39,4.417462
1206.0,39,4.435666
1687.0,39,4.453349
1750.0,39,4.471561
1727.0,39,4.489097
1519.0,39,4.507362
1508.0,39,4.525754
1124.0,39,4.543556
1623.0,39,4.561678
1702.0,39,4.580398
1264.0,39,4.599347
1442.0,39,4.617994
1831.0,39,4.636113
1825.0,39,4.654475
1514.0,39,4.672775
1445.0,39,4.691463
1597.0,39,4.709742
1413.0,39,4.727941
1666.0,39,4.745993
1805.0,39,4.764187
1282.0,39,4.782617
1403.0,39,4.8004
1812.0,39,4.818054
1388.0,39,4.83621
1525.0,39,4.854606
1871.0,39,4.871673
1798.0,39,4.887781
2017.0,39,4.904691
1664.0,39,4.923056
1413.0,39,4.940968
1669.0,39,4.958788
1908.0,39,4.976177
1489.0,39,4.994407
1783.0,39,5.012101
1836.0,39,5.029763
1884.0,39,5.047799
1454.0,39,5.066079
